skeleton	glycans	rescodes	nC	first	last	nAnomer	nStereoDef	nStereoUnk	nDeoxy	nUndef	nCarbonyl	nAcid	nDouble	nTriple	nSP3	nSP2	nSP	nSPX	unknownChars
o222h	13	4	5	SZ2_ALDEHYDE	SZ3_HYDROXYL	0	3	0	0	0	1	0	0	0	4	1	0	0	-
A212h	12	3	5	SZ2_ACID_U	SZ3_HYDROXYL	0	3	0	0	0	0	1	0	0	4	1	0	0	-
A22h	12	5	4	SZ2_ACID_U	SZ3_HYDROXYL	0	2	0	0	0	0	1	0	0	3	1	0	0	-
Aad21222h	12	3	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
a1112A	12	6	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a121xA	12	6	6	SZX_ANOMER	SZ2_ACID_U	1	3	1	0	0	0	1	0	0	5	1	0	0	-
a21x2A	12	5	6	SZX_ANOMER	SZ2_ACID_U	1	3	1	0	0	0	1	0	0	5	1	0	0	-
a2x2xm	12	5	6	SZX_ANOMER	SZ3_METHYL_L	1	2	2	1	0	0	0	0	0	6	0	0	0	-
a2xx2h	12	8	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
ad221h	12	10	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	1	0	0	0	0	0	6	0	0	0	-
adx1xh	12	7	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	2	1	0	0	0	0	0	6	0	0	0	-
ax221m	12	6	6	SZX_ANOMER	SZ3_METHYL_L	1	3	1	1	0	0	0	0	0	6	0	0	0	-
h2122m	12	3	6	SZ3_HYDROXYL	SZ3_METHYL_L	0	4	0	1	0	0	0	0	0	6	0	0	0	-
Aad22111m	11	3	9	SZ2_ACID_U	SZ3_METHYL_L	1	5	0	2	0	0	1	0	0	8	1	0	0	-
Aadxxxx2h	11	6	9	SZ2_ACID_U	SZ3_HYDROXYL	1	1	4	1	0	0	1	0	0	8	1	0	0	-
a11xh	11	11	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	5	0	0	0	-
a2x21h	11	9	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
ad12xm	11	9	6	SZX_ANOMER	SZ3_METHYL_L	1	2	1	2	0	0	0	0	0	6	0	0	0	-
axx12h	11	4	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
Aad11x2h	10	7	8	SZ2_ACID_U	SZ3_HYDROXYL	1	3	1	1	0	0	1	0	0	7	1	0	0	-
Aadxxx2xh	10	5	9	SZ2_ACID_U	SZ3_HYDROXYL	1	1	4	1	0	0	1	0	0	8	1	0	0	-
Axh	10	5	3	SZ2_ACID_U	SZ3_HYDROXYL	0	0	1	0	0	0	1	0	0	2	1	0	0	-
a1122dh	10	5	7	SZX_ANOMER	SZ3_HYDROXYL	1	4	0	1	0	0	0	0	0	7	0	0	0	-
a1122xh	10	9	7	SZX_ANOMER	SZ3_HYDROXYL	1	4	1	0	0	0	0	0	0	7	0	0	0	-
a112xA	10	5	6	SZX_ANOMER	SZ2_ACID_U	1	3	1	0	0	0	1	0	0	5	1	0	0	-
a12112h	10	10	7	SZX_ANOMER	SZ3_HYDROXYL	1	5	0	0	0	0	0	0	0	7	0	0	0	-
a1222A	10	7	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a122xm	10	6	6	SZX_ANOMER	SZ3_METHYL_L	1	3	1	1	0	0	0	0	0	6	0	0	0	-
a222A	10	6	5	SZX_ANOMER	SZ2_ACID_U	1	3	0	0	0	0	1	0	0	4	1	0	0	-
ad121h	10	10	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	1	0	0	0	0	0	6	0	0	0	-
ad2x1m	10	5	6	SZX_ANOMER	SZ3_METHYL_L	1	2	1	2	0	0	0	0	0	6	0	0	0	-
add11m	10	7	6	SZX_ANOMER	SZ3_METHYL_L	1	2	0	3	0	0	0	0	0	6	0	0	0	-
adx1h	10	8	5	SZX_ANOMER	SZ3_HYDROXYL	1	1	1	1	0	0	0	0	0	5	0	0	0	-
adx1xm	10	5	6	SZX_ANOMER	SZ3_METHYL_L	1	1	2	2	0	0	0	0	0	6	0	0	0	-
axd2xm	10	6	6	SZX_ANOMER	SZ3_METHYL_L	1	1	2	2	0	0	0	0	0	6	0	0	0	-
