map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*1OCC^S*3/4C^R(CCCCCC$7)/6(CCCCCC$13/17)OC(/16)OC(/15)OC(/11)OCO($10/8)*2/3=O	1	1	26	19	7	0	0	0	0	12	3	2	5,6,6	1	1	3	O
*1OCC^SC^S*2/5CCC^SC^RC^SC^RC=^ZCCC=^ZC$12/15=O/13CC$10/12C/11CC$4/9$4/3=O	1	1	22	19	3	0	0	0	0	0	4	0	5,6,6,6	2	1	1	O
*1OCC^SNC(CCCCCN$7/8)O/6=O/4CO*2/15=O	1	1	16	9	5	2	0	0	0	6	1	1	6	2	1	3	O
*1OCC^SNC(CCCCCN$7/9)OC(/8)O/6=O/4CO*2/17=O	1	1	18	10	6	2	0	0	0	6	1	1	6	2	1	3	O
*1OCC^SNC(CCCCCN$7/9)OC(/8)OCOCCC/19C/18=O/6=O/4CO*2/24=O	1	1	25	15	8	2	0	0	0	6	1	1	6	3	2	3	O
*1OCC^X*2/4CCCCCCC/11C/6=O/3=O	1	1	13	10	3	0	0	0	0	0	0	0	-	2	1	9	O
*1OCC^XNC(CCCCCN$7/9)OC(/8)O/6=O/4CO*2/17=O	1	1	18	10	6	2	0	0	0	6	1	1	6	2	1	3	O
*1OCN*2/4(CCCCCC$6/10)Cl(/8)Cl/3=O	1	1	12	7	2	1	0	0	2	6	1	1	6	1	1	1	O
*1OCN*2/4CCCC(NCCCCCCNC$13/12NC$10)/3=O	1	1	19	13	2	4	0	0	0	11	2	2	5,6	1	1	4	O
*1OC^R(CCCCCCCCC$7/8C$4/13)=O(/9)O(/6)=O(/5)*2/3CCC	1	1	18	14	4	0	0	0	0	10	2	2	6,6	2	0	4	O
*1OC^RC=^ZCC^RC^SC^RC^SC^RC^RC=^ZCCOC$12/14=O/11CC$9/10CC$7/10C/9O/8CC$5/6CC^RO*2/27$3/6C	1	1	28	23	5	0	0	0	0	0	5	0	5,5,6,6,6	1	1	1	O
